exchange,sym,price,supply,cny_supply,cny_price
Binance,0x,0.346169,2039185.0,1416.28,2.40
Binance,kyber-network,0.1602215,381937.0,265.27,1.11
Binance,loopring,0.0415195,130308.0,90.50,0.29
BitMart,0x,0.3053283333333333,3965385.0,2754.08,2.12
Bithumb,0x,0.356446,149171.0,103.60,2.48
Bithumb,kyber-network,0.158716,216643.0,150.47,1.10
Bithumb,loopring,0.313885,72064.0,50.05,2.18
Bittrex,0x,0.34740600000000005,106390.0,73.89,2.41
Bittrex,loopring,0.041404,12589.0,8.74,0.29
CPDAX,kyber-network,0.159692,240352.0,166.93,1.11
CoinTiger,0x,0.347636,203300.0,141.20,2.41
Coinbase Pro,0x,0.3479386666666667,3145504.0,2184.65,2.42
DigiFinex,0x,0.34541333333333335,377109.0,261.91,2.40
DragonEX,kyber-network,0.14784150000000001,253337.0,175.95,1.03
DragonEX,loopring,0.040912500000000004,82750.0,57.47,0.28
Ethfinex,0x,0.3487833333333334,653967.0,454.20,2.42
Gate.io,0x,0.34773500000000007,164263.0,114.09,2.42
Gate.io,kyber-network,0.161796,4526.0,3.14,1.12
Gate.io,loopring,0.04123833333333333,79628.0,55.30,0.29
Gate.io,loopring-neo,0.0723925,623431.0,432.99,0.50
HitBTC,0x,0.344902,170450.0,118.38,2.40
Huobi,0x,0.3467255,94628.0,65.72,2.41
Huobi,kyber-network,0.1598835,49628.0,34.47,1.11
IDAX,loopring,0.049303,0.0,0.00,0.34
Liqui,kyber-network,0.15952233333333332,119274.0,82.84,1.11
OKEx,0x,0.34620000000000006,414547.0,287.92,2.40
OKEx,kyber-network,0.16035866666666665,42987.0,29.86,1.11
OKEx,loopring,0.041136,106894.0,74.24,0.29
Poloniex,0x,0.3417206666666666,176808.0,122.80,2.37
Upbit,0x,0.3494645,106321.0,73.84,2.43
Upbit,loopring,0.041479,11706.0,8.13,0.29
